name,longitude,latitude
Coney-Island-Beach-and-Boardwalk,40.572689,-73.97828386
Brighton-Playground,40.5752008,-73.9653701
Poseidon-Playground,40.57246913,-73.99209323
Linden-Sitting-Area,40.65400377,-73.91843275
Heffernan-Triangle,40.64598745,-73.99479789
Fraser-Square,40.61997028,-73.94122856
Dahill-Triangle,40.61290664,-73.97499306
Trust-Triangle,40.61627126,-73.92962587
Flatbush-Malls,40.63261544,-73.96035721
Flatbush-Mall,40.62975382,-73.96032898
Howard-Malls,40.66388851,-73.919868
Avenue-R-Mall,40.60501143,-73.96488631
Barone-Triangle,40.62004093,-73.90744253
Russell-Pedersen-Playground,40.6263648,-74.03612601
Fort-Hamilton-Athletic-Field,40.62666547,-74.0374153
Hamilton-Metz-Field,40.66256852,-73.94093277
Harmony-Triangle,40.70327109,-73.95042144
Pvt-Sonsire-Triangle,40.7184862,-73.95254472
Mellett-Playground,40.59699561,-73.9574604
Kings-Highway-Malls,40.62638451,-73.93291441
Greenstreet,40.620123,-73.91067389
Elizabeth-Stroud-Playground,40.67967144,-73.93108513
Lithuania-Square,40.70888991,-73.95092743
Corporal-Wiltshire-Square,40.61086402,-73.95318632
Sunners-Playground,40.63252563,-73.9296783
Sarsfield-Playground,40.62018909,-73.93746047
Pfc-Norton-Playground,40.61460174,-73.94487422
Galapo-Playground,40.59799329,-73.94676145
DEmic-Playground,40.65599233,-74.00492178
Cough-Triangle,40.67445962,-73.99990478
Admiral-Triangle,40.67688592,-74.00110276
Triangle-Three-Sixteen,40.66729423,-73.9950359
Harold-Ickes-Playground,40.68247487,-74.00590201
Gonzalo-Plasencia-Playground,40.65265527,-74.00847453
Dan-Ross-Playground,40.62275419,-74.02156439
John-J-Carty-Park,40.61325502,-74.03016603
Lady-Moody-Triangle,40.59672703,-73.97444356
Hot-Spot-Tot-Lot,40.63102589,-73.95664682
Gravesend-Triangle,40.59502349,-73.96938737
Linden-Park,40.65903342,-73.88692676
Decatur-Playground,40.68145771,-73.93652183
Raymond-Bush-Playground,40.68636191,-73.93956702
Marcy-Playground,40.69558726,-73.95090137
Paerdegat-Park,40.63806086,-73.93813242
Callahan-Kelly-Playground,40.6783473,-73.90477153
Washington-Hall-Park,40.69533603,-73.96678487
Steuben-Playground,40.69739969,-73.96342222
Pierrepont-Playground,40.69624114,-73.9975877
Dimattina-Playground,40.68000682,-74.00270716
Adam-Yauch-Park,40.69226055,-73.99969986
Brooklyn-Heights-Promenade,40.69436216,-73.9987452
Fruit-Street-Sitting-Area,40.69961989,-73.99633091
Squibb-Park,40.70059371,-73.99587143
Harry-Chapin-Playground,40.7006605,-73.99493379
Anchorage-Plaza,40.70131505,-73.99036892
Clumber-Corner,40.70116547,-73.98918058
Bridge-Park,40.70104867,-73.9857906
Bridge-Park-3,40.70030369,-73.98543435
Trinity-Park,40.69951195,-73.985383
Classon-Triangle,40.69925441,-73.96107228
Penn-Triangle,40.70081551,-73.96084733
Marcy-Park-South,40.70748722,-73.95801009
Rodney-Park-South,40.70754573,-73.95728668
Rodney-Park-Center,40.70856111,-73.9567404
Rodney-Park-North,40.70907614,-73.95634035
Rodney-Playground-South,40.70973296,-73.955923
Rodney-Playground-Center,40.71023089,-73.95556438
Rodney-Playground-North,40.7110917,-73.95498009
Marcy-Green-South,40.70844207,-73.95734723
Marcy-Green-Center,40.70932618,-73.95705133
Marcy-Green-North,40.70998873,-73.95664567
Jaime-Campiz-Playground,40.71363071,-73.95434738
Macri-Triangle,40.71436063,-73.95219816
Father-Giorgio-Triangle,40.7162578,-73.94992134
Lentol-Garden,40.71990887,-73.94514389
Badame-Sessa-Triangle,40.71715008,-73.94848557
St-Andrews-Playground,40.6786855,-73.94223806
Mt-Carmel-Triangle,40.71585185,-73.95163264
Dr-Green-Playground,40.66722644,-73.90677218
Nicholas-Naquan-Heyward-Jr-Park,40.6845985,-73.98787969
Samuel-Goldberg-Triangle,40.6111218,-73.9772322
Dean-Playground,40.68087323,-73.97319748
Tilden-Playground,40.64764929,-73.93142407
Herman-Dolgon-Playground,40.59804349,-73.9399903
Glenwood-Playground,40.63668225,-73.9198596
John-Hancock-Playground,40.68237237,-73.95465171
Sheepshead-Playground,40.58895169,-73.94020149
Tucker-Place,40.58351282,-73.94140481
Meucci-Triangle,40.59573568,-73.98328549
Golconda-Playground,40.69773114,-73.98228359
McDonald-Playground,40.60062985,-73.97202869
Jerome-Playground,40.6589637,-73.8794861
Breukelen-Ballfields,40.65296359,-73.89299883
Van-Dyke-Playground,40.66442689,-73.90400057
Nostrand-Playground,40.63810789,-73.94724992
Manhattan-Beach-Park,40.57732841,-73.94310461
West-Playground,40.5869274,-73.97005759
Albert-J-Parham-Playground,40.69028138,-73.97080057
Wingate-Park,40.65863838,-73.94425671
Purple-Playground,40.66299818,-73.98969555
Detective-Joseph-Mayrose-Park,40.66133686,-73.98767485
Butterfly-Gardens,40.66017264,-73.98649266
Thomas-J-Cuite-Park,40.65424591,-73.97858175
Seeley-Park,40.65332381,-73.97778103
Sitting-Area,40.65246266,-73.97675301
